Global seed set to 42
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to /scratch/MNIST/raw/train-images-idx3-ubyte.gz
  0%|          | 0/9912422 [00:00<?, ?it/s]100%|██████████| 9912422/9912422 [00:00<00:00, 131117264.75it/s]
Extracting /scratch/MNIST/raw/train-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw/train-labels-idx1-ubyte.gz
  0%|          | 0/28881 [00:00<?, ?it/s]100%|██████████| 28881/28881 [00:00<00:00, 97611356.83it/s]
Extracting /scratch/MNIST/raw/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz
  0%|          | 0/1648877 [00:00<?, ?it/s]100%|██████████| 1648877/1648877 [00:00<00:00, 57006309.01it/s]
Extracting /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz
  0%|          | 0/4542 [00:00<?, ?it/s]100%|██████████| 4542/4542 [00:00<00:00, 21238047.68it/s]
Extracting /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw

/home/lcur0640/.conda/envs/dl2022/lib/python3.10/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 3, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Using device cuda:0
====> Epoch 0 : Average loss: 0.2843, AE Loss: 0.0825, Discriminator Loss: 0.0369,         Generator Loss: 12.4574, Recon Loss: 0.0825, Loss Real 0.0332, Loss Fake 0.0037,          Accuracy 1.0000
====> Epoch 1 : Average loss: 0.0971, AE Loss: 0.0811, Discriminator Loss: 0.0620,         Generator Loss: 10.2250, Recon Loss: 0.0811, Loss Real 0.0128, Loss Fake 0.0492,          Accuracy 0.9844
====> Epoch 2 : Average loss: 0.0827, AE Loss: 0.0684, Discriminator Loss: 0.0155,         Generator Loss: 10.9493, Recon Loss: 0.0684, Loss Real 0.0113, Loss Fake 0.0042,          Accuracy 1.0000
====> Epoch 3 : Average loss: 0.0805, AE Loss: 0.0670, Discriminator Loss: 0.0124,         Generator Loss: 11.3629, Recon Loss: 0.0670, Loss Real 0.0061, Loss Fake 0.0063,          Accuracy 1.0000
====> Epoch 4 : Average loss: 0.0822, AE Loss: 0.0723, Discriminator Loss: 0.0284,         Generator Loss: 12.8103, Recon Loss: 0.0723, Loss Real 0.0085, Loss Fake 0.0199,          Accuracy 1.0000
====> Epoch 5 : Average loss: 0.0863, AE Loss: 0.0502, Discriminator Loss: 0.0236,         Generator Loss: 12.7719, Recon Loss: 0.0502, Loss Real 0.0107, Loss Fake 0.0129,          Accuracy 1.0000
====> Epoch 6 : Average loss: 0.0933, AE Loss: 0.0531, Discriminator Loss: 0.1468,         Generator Loss: 11.7145, Recon Loss: 0.0531, Loss Real 0.1011, Loss Fake 0.0457,          Accuracy 0.9688
====> Epoch 7 : Average loss: 0.1019, AE Loss: 0.0538, Discriminator Loss: 0.0130,         Generator Loss: 16.2812, Recon Loss: 0.0538, Loss Real 0.0071, Loss Fake 0.0059,          Accuracy 1.0000
====> Epoch 8 : Average loss: 0.1140, AE Loss: 0.0589, Discriminator Loss: 0.0823,         Generator Loss: 13.4725, Recon Loss: 0.0589, Loss Real 0.0153, Loss Fake 0.0670,          Accuracy 0.9844
====> Epoch 9 : Average loss: 0.1236, AE Loss: 0.0516, Discriminator Loss: 0.0596,         Generator Loss: 13.7802, Recon Loss: 0.0516, Loss Real 0.0040, Loss Fake 0.0556,          Accuracy 0.9844
====> Epoch 10 : Average loss: 0.1353, AE Loss: 0.0497, Discriminator Loss: 0.1654,         Generator Loss: 14.0293, Recon Loss: 0.0497, Loss Real 0.1341, Loss Fake 0.0313,          Accuracy 0.9688
====> Epoch 11 : Average loss: 0.1514, AE Loss: 0.0523, Discriminator Loss: 0.1270,         Generator Loss: 11.9644, Recon Loss: 0.0523, Loss Real 0.1155, Loss Fake 0.0115,          Accuracy 0.9844
====> Epoch 12 : Average loss: 0.1673, AE Loss: 0.0559, Discriminator Loss: 0.0848,         Generator Loss: 11.4393, Recon Loss: 0.0559, Loss Real 0.0420, Loss Fake 0.0428,          Accuracy 0.9688
====> Epoch 13 : Average loss: 0.1792, AE Loss: 0.0558, Discriminator Loss: 0.1536,         Generator Loss: 10.5883, Recon Loss: 0.0558, Loss Real 0.1434, Loss Fake 0.0103,          Accuracy 0.9844
====> Epoch 14 : Average loss: 0.1924, AE Loss: 0.0479, Discriminator Loss: 0.0556,         Generator Loss: 12.4683, Recon Loss: 0.0479, Loss Real 0.0161, Loss Fake 0.0395,          Accuracy 0.9844
====> Epoch 15 : Average loss: 0.2072, AE Loss: 0.0496, Discriminator Loss: 0.0749,         Generator Loss: 9.6992, Recon Loss: 0.0496, Loss Real 0.0308, Loss Fake 0.0441,          Accuracy 1.0000
====> Epoch 16 : Average loss: 0.2215, AE Loss: 0.0403, Discriminator Loss: 0.1743,         Generator Loss: 10.9620, Recon Loss: 0.0403, Loss Real 0.1448, Loss Fake 0.0295,          Accuracy 0.9844
====> Epoch 17 : Average loss: 0.2273, AE Loss: 0.0510, Discriminator Loss: 0.1467,         Generator Loss: 10.9364, Recon Loss: 0.0510, Loss Real 0.0668, Loss Fake 0.0799,          Accuracy 0.9688
====> Epoch 18 : Average loss: 0.2409, AE Loss: 0.0421, Discriminator Loss: 0.1243,         Generator Loss: 8.1629, Recon Loss: 0.0421, Loss Real 0.0255, Loss Fake 0.0988,          Accuracy 0.9844
====> Epoch 19 : Average loss: 0.2453, AE Loss: 0.0482, Discriminator Loss: 0.2434,         Generator Loss: 9.8555, Recon Loss: 0.0482, Loss Real 0.1300, Loss Fake 0.1134,          Accuracy 0.9375
====> Epoch 20 : Average loss: 0.2491, AE Loss: 0.0469, Discriminator Loss: 0.2261,         Generator Loss: 8.4699, Recon Loss: 0.0469, Loss Real 0.0948, Loss Fake 0.1313,          Accuracy 0.9375
====> Epoch 21 : Average loss: 0.2574, AE Loss: 0.0505, Discriminator Loss: 0.1872,         Generator Loss: 8.7003, Recon Loss: 0.0505, Loss Real 0.1372, Loss Fake 0.0501,          Accuracy 0.9531
