Global seed set to 42
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to /scratch/MNIST/raw/train-images-idx3-ubyte.gz
  0%|          | 0/9912422 [00:00<?, ?it/s]100%|██████████| 9912422/9912422 [00:00<00:00, 325313463.36it/s]
Extracting /scratch/MNIST/raw/train-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw/train-labels-idx1-ubyte.gz
  0%|          | 0/28881 [00:00<?, ?it/s]100%|██████████| 28881/28881 [00:00<00:00, 100194949.40it/s]
Extracting /scratch/MNIST/raw/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz
  0%|          | 0/1648877 [00:00<?, ?it/s]100%|██████████| 1648877/1648877 [00:00<00:00, 39246671.11it/s]
Extracting /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz
  0%|          | 0/4542 [00:00<?, ?it/s]100%|██████████| 4542/4542 [00:00<00:00, 19741480.59it/s]
Extracting /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw

/home/lcur0640/.conda/envs/dl2022/lib/python3.10/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 3, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Using device cuda:0
====> Epoch 0 : Average loss: 0.2637, AE Loss: 0.0819, Discriminator Loss: 0.0304,         Generator Loss: 0.0000, Recon Loss: 0.0823, Loss Real 0.0304, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 1 : Average loss: 0.0948, AE Loss: 0.0855, Discriminator Loss: 0.0584,         Generator Loss: 0.0492, Recon Loss: 0.0857, Loss Real 0.0091, Loss Fake 0.0492,          Accuracy 0.9844
====> Epoch 2 : Average loss: 0.0787, AE Loss: 0.0677, Discriminator Loss: 0.0085,         Generator Loss: 0.0008, Recon Loss: 0.0680, Loss Real 0.0077, Loss Fake 0.0008,          Accuracy 1.0000
====> Epoch 3 : Average loss: 0.0730, AE Loss: 0.0680, Discriminator Loss: 0.0051,         Generator Loss: 0.0005, Recon Loss: 0.0684, Loss Real 0.0046, Loss Fake 0.0005,          Accuracy 1.0000
====> Epoch 4 : Average loss: 0.0703, AE Loss: 0.0695, Discriminator Loss: 0.0139,         Generator Loss: 0.0103, Recon Loss: 0.0698, Loss Real 0.0036, Loss Fake 0.0103,          Accuracy 1.0000
====> Epoch 5 : Average loss: 0.0688, AE Loss: 0.0512, Discriminator Loss: 0.0092,         Generator Loss: 0.0018, Recon Loss: 0.0514, Loss Real 0.0073, Loss Fake 0.0018,          Accuracy 1.0000
====> Epoch 6 : Average loss: 0.0676, AE Loss: 0.0540, Discriminator Loss: 0.0451,         Generator Loss: 0.0291, Recon Loss: 0.0541, Loss Real 0.0160, Loss Fake 0.0291,          Accuracy 1.0000
====> Epoch 7 : Average loss: 0.0665, AE Loss: 0.0536, Discriminator Loss: 0.0028,         Generator Loss: 0.0005, Recon Loss: 0.0539, Loss Real 0.0023, Loss Fake 0.0005,          Accuracy 1.0000
====> Epoch 8 : Average loss: 0.0653, AE Loss: 0.0574, Discriminator Loss: 0.0170,         Generator Loss: 0.0104, Recon Loss: 0.0577, Loss Real 0.0066, Loss Fake 0.0104,          Accuracy 1.0000
====> Epoch 9 : Average loss: 0.0641, AE Loss: 0.0521, Discriminator Loss: 0.0093,         Generator Loss: 0.0034, Recon Loss: 0.0524, Loss Real 0.0059, Loss Fake 0.0034,          Accuracy 1.0000
====> Epoch 10 : Average loss: 0.0630, AE Loss: 0.0522, Discriminator Loss: 0.0225,         Generator Loss: 0.0016, Recon Loss: 0.0525, Loss Real 0.0209, Loss Fake 0.0016,          Accuracy 1.0000
