Global seed set to 42
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to /scratch/MNIST/raw/train-images-idx3-ubyte.gz
  0%|          | 0/9912422 [00:00<?, ?it/s]100%|██████████| 9912422/9912422 [00:00<00:00, 284126833.17it/s]
Extracting /scratch/MNIST/raw/train-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw/train-labels-idx1-ubyte.gz
  0%|          | 0/28881 [00:00<?, ?it/s]100%|██████████| 28881/28881 [00:00<00:00, 93468899.56it/s]
Extracting /scratch/MNIST/raw/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz
  0%|          | 0/1648877 [00:00<?, ?it/s]100%|██████████| 1648877/1648877 [00:00<00:00, 137157475.69it/s]
Extracting /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz
  0%|          | 0/4542 [00:00<?, ?it/s]100%|██████████| 4542/4542 [00:00<00:00, 20011059.63it/s]
Extracting /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw

/home/lcur0640/.conda/envs/dl2022/lib/python3.10/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 3, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Using device cuda:0
====> Epoch 0 : Average loss: 0.3539, AE Loss: 0.2231, Discriminator Loss: 0.0127,         Generator Loss: 0.0001, Recon Loss: 0.2242, Loss Real 0.0126, Loss Fake 0.0001,          Accuracy 1.0000
====> Epoch 1 : Average loss: 0.2279, AE Loss: 0.2352, Discriminator Loss: 0.0034,         Generator Loss: 0.0000, Recon Loss: 0.2364, Loss Real 0.0034, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 2 : Average loss: 0.2158, AE Loss: 0.1935, Discriminator Loss: 0.0044,         Generator Loss: 0.0000, Recon Loss: 0.1945, Loss Real 0.0044, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 3 : Average loss: 0.2101, AE Loss: 0.2050, Discriminator Loss: 0.0075,         Generator Loss: 0.0000, Recon Loss: 0.2060, Loss Real 0.0075, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 4 : Average loss: 0.2074, AE Loss: 0.1777, Discriminator Loss: 0.0010,         Generator Loss: 0.0001, Recon Loss: 0.1786, Loss Real 0.0010, Loss Fake 0.0001,          Accuracy 1.0000
====> Epoch 5 : Average loss: 0.2055, AE Loss: 0.1894, Discriminator Loss: 0.0017,         Generator Loss: 0.0005, Recon Loss: 0.1903, Loss Real 0.0011, Loss Fake 0.0005,          Accuracy 1.0000
====> Epoch 6 : Average loss: 0.2036, AE Loss: 0.1911, Discriminator Loss: 0.0558,         Generator Loss: 0.0349, Recon Loss: 0.1919, Loss Real 0.0209, Loss Fake 0.0349,          Accuracy 0.9844
====> Epoch 7 : Average loss: 0.2009, AE Loss: 0.1869, Discriminator Loss: 0.0033,         Generator Loss: 0.0000, Recon Loss: 0.1879, Loss Real 0.0033, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 8 : Average loss: 0.2001, AE Loss: 0.1660, Discriminator Loss: 0.0011,         Generator Loss: 0.0000, Recon Loss: 0.1669, Loss Real 0.0011, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 9 : Average loss: 0.1988, AE Loss: 0.1512, Discriminator Loss: 0.0004,         Generator Loss: 0.0000, Recon Loss: 0.1520, Loss Real 0.0004, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 10 : Average loss: 0.1971, AE Loss: 0.1740, Discriminator Loss: 0.0014,         Generator Loss: 0.0000, Recon Loss: 0.1748, Loss Real 0.0014, Loss Fake 0.0000,          Accuracy 1.0000
