Global seed set to 42
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-images-idx3-ubyte.gz to /scratch/MNIST/raw/train-images-idx3-ubyte.gz
  0%|          | 0/9912422 [00:00<?, ?it/s]100%|██████████| 9912422/9912422 [00:00<00:00, 127027862.38it/s]
Extracting /scratch/MNIST/raw/train-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw/train-labels-idx1-ubyte.gz
  0%|          | 0/28881 [00:00<?, ?it/s]100%|██████████| 28881/28881 [00:00<00:00, 99536313.74it/s]
Extracting /scratch/MNIST/raw/train-labels-idx1-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz
  0%|          | 0/1648877 [00:00<?, ?it/s]100%|██████████| 1648877/1648877 [00:00<00:00, 90168075.58it/s]
Extracting /scratch/MNIST/raw/t10k-images-idx3-ubyte.gz to /scratch/MNIST/raw

Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz
Downloading http://yann.lecun.com/exdb/mnist/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz
  0%|          | 0/4542 [00:00<?, ?it/s]100%|██████████| 4542/4542 [00:00<00:00, 21381064.84it/s]
Extracting /scratch/MNIST/raw/t10k-labels-idx1-ubyte.gz to /scratch/MNIST/raw

/home/lcur0640/.conda/envs/dl2022/lib/python3.10/site-packages/torch/utils/data/dataloader.py:554: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 3, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(_create_warning_msg(
Using device cuda:0
====> Epoch 0 : Average loss: 0.3266, AE Loss: 0.1413, Discriminator Loss: 0.0248,         Generator Loss: 0.0000, Recon Loss: 0.1420, Loss Real 0.0248, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 1 : Average loss: 0.1405, AE Loss: 0.1306, Discriminator Loss: 0.0215,         Generator Loss: 0.0000, Recon Loss: 0.1312, Loss Real 0.0215, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 2 : Average loss: 0.1176, AE Loss: 0.1056, Discriminator Loss: 0.1555,         Generator Loss: 0.1431, Recon Loss: 0.1054, Loss Real 0.0124, Loss Fake 0.1431,          Accuracy 0.9844
====> Epoch 3 : Average loss: 0.1027, AE Loss: 0.1024, Discriminator Loss: 0.0028,         Generator Loss: 0.0000, Recon Loss: 0.1029, Loss Real 0.0028, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 4 : Average loss: 0.0959, AE Loss: 0.1108, Discriminator Loss: 0.0022,         Generator Loss: 0.0000, Recon Loss: 0.1113, Loss Real 0.0022, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 5 : Average loss: 0.0907, AE Loss: 0.0810, Discriminator Loss: 0.0020,         Generator Loss: 0.0000, Recon Loss: 0.0814, Loss Real 0.0020, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 6 : Average loss: 0.0872, AE Loss: 0.0877, Discriminator Loss: 0.0038,         Generator Loss: 0.0000, Recon Loss: 0.0881, Loss Real 0.0038, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 7 : Average loss: 0.0836, AE Loss: 0.0829, Discriminator Loss: 0.0010,         Generator Loss: 0.0000, Recon Loss: 0.0833, Loss Real 0.0010, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 8 : Average loss: 0.0815, AE Loss: 0.0937, Discriminator Loss: 0.0013,         Generator Loss: 0.0000, Recon Loss: 0.0942, Loss Real 0.0013, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 9 : Average loss: 0.0792, AE Loss: 0.0840, Discriminator Loss: 0.0010,         Generator Loss: 0.0000, Recon Loss: 0.0844, Loss Real 0.0010, Loss Fake 0.0000,          Accuracy 1.0000
====> Epoch 10 : Average loss: 0.0774, AE Loss: 0.0834, Discriminator Loss: 0.0009,         Generator Loss: 0.0000, Recon Loss: 0.0839, Loss Real 0.0009, Loss Fake 0.0000,          Accuracy 1.0000
